Density,variable,value
0.0,Healthy,0.0052919659042461485
0.51,Healthy,0.00571652817597231
1.02,Healthy,0.006044972344629063
1.53,Healthy,0.0062677876028828135
2.04,Healthy,0.006384012644865654
2.55,Healthy,0.006400684778853395
3.06,Healthy,0.006331333752317481
3.57,Healthy,0.006193865610439646
4.08,Healthy,0.0060082417367034865
4.59,Healthy,0.005794325122386316
5.1,Healthy,0.005570164378904609
5.61,Healthy,0.005350853432174145
6.12,Healthy,0.00514797809665952
6.63,Healthy,0.004969565897675807
7.14,Healthy,0.004820403546908203
7.65,Healthy,0.004702574653967907
8.16,Healthy,0.004616087276723563
8.67,Healthy,0.004559492897611494
9.18,Healthy,0.004530433450104969
9.69,Healthy,0.004526083509644967
10.2,Healthy,0.004543477471105691
10.71,Healthy,0.004579726460782657
11.22,Healthy,0.004632138502649257
11.73,Healthy,0.004698260070353866
12.24,Healthy,0.004775859202732533
12.75,Healthy,0.004862870808173251
13.26,Healthy,0.004957324042994559
13.77,Healthy,0.005057269820570774
14.28,Healthy,0.0051607235745747835
14.79,Healthy,0.0052656344423314605
15.3,Healthy,0.0053698872754309734
15.81,Healthy,0.005471338741626471
16.32,Healthy,0.005567883790077259
16.83,Healthy,0.005657544487210622
17.34,Healthy,0.005738570194615669
17.85,Healthy,0.00580953657319372
18.36,Healthy,0.00586943107485849
18.87,Healthy,0.00591771426154649
19.38,Healthy,0.005954349160987669
19.89,Healthy,0.0059797944718230165
20.4,Healthy,0.005994961297850555
20.91,Healthy,0.006001136810019405
21.42,Healthy,0.005999881463286723
21.93,Healthy,0.005992908906715176
22.44,Healthy,0.00598195935009671
22.95,Healthy,0.005968677779390398
23.46,Healthy,0.005954507968954624
23.97,Healthy,0.00594061168897687
24.48,Healthy,0.0059278199147125964
24.99,Healthy,0.005916619385157175
25.5,Healthy,0.005907173869532134
26.01,Healthy,0.005899375449590323
26.52,Healthy,0.005892917591290051
27.03,Healthy,0.005887379302340259
27.54,Healthy,0.005882308715706208
28.05,Healthy,0.005877295178992621
28.56,Healthy,0.005872021281363411
29.07,Healthy,0.00586628978393294
29.58,Healthy,0.005860024500883923
30.09,Healthy,0.005853248083036099
30.6,Healthy,0.005846042754281715
31.11,Healthy,0.005838501924581908
31.62,Healthy,0.005830681132759929
32.13,Healthy,0.005822556062407179
32.64,Healthy,0.005813993702995307
33.15,Healthy,0.005804740423286142
33.66,Healthy,0.005794428096246196
34.17,Healthy,0.005782596769586875
34.68,Healthy,0.005768729998069487
35.19,Healthy,0.005752297166457845
35.7,Healthy,0.005732796241789643
36.21,Healthy,0.00570979061459671
36.72,Healthy,0.005682935082726825
37.23,Healthy,0.005651988366028961
37.74,Healthy,0.005616812355928349
38.25,Healthy,0.005577360957245617
38.76,Healthy,0.005533663226733228
39.27,Healthy,0.005485806097525374
39.78,Healthy,0.00543392117734046
40.29,Healthy,0.005378178182847098
40.8,Healthy,0.005318785089436996
41.31,Healthy,0.0052559927654335726
41.82,Healthy,0.005190100356051884
42.33,Healthy,0.005121457385399088
42.84,Healthy,0.005050459465940426
43.35,Healthy,0.0049775363258050724
43.86,Healthy,0.004903133012729021
44.37,Healthy,0.004827687000196112
44.88,Healthy,0.004751605013862326
45.39,Healthy,0.004675243479582678
45.9,Healthy,0.004598895622288908
46.41,Healthy,0.004522786740902461
46.92,Healthy,0.004447077477074932
47.43,Healthy,0.004371873451641366
47.94,Healthy,0.004297238768080747
48.45,Healthy,0.004223210701420175
48.96,Healthy,0.004149813308772268
49.47,Healthy,0.0040770684695689684
49.98,Healthy,0.004005003699501629
50.49,Healthy,0.00393365674846156
51.0,Healthy,0.003863077386639936
51.51,Healthy,0.0037933269396332775
52.02,Healthy,0.0037244761777913554
52.53,Healthy,0.0036566022275645437
53.04,Healthy,0.003589785308904963
53.55,Healthy,0.0035241062682990995
54.06,Healthy,0.0034596459391628104
54.57,Healthy,0.00339648717814836
55.08,Healthy,0.003334719925258052
55.59,Healthy,0.0032744488745504274
56.1,Healthy,0.0032158025072652006
56.61,Healthy,0.0031589415955215095
57.12,Healthy,0.0031040650739301715
57.63,Healthy,0.003051411521322962
58.14,Healthy,0.003001255334272025
58.65,Healthy,0.0029538977816420337
59.16,Healthy,0.0029096541658986223
59.67,Healthy,0.0028688389871476244
60.18,Healthy,0.002831751128181277
60.69,Healthy,0.002798660688457944
61.2,Healthy,0.0027697984000407245
61.71,Healthy,0.0027453478608587202
62.22,Healthy,0.0027254403804562086
62.73,Healthy,0.0027101521631809193
63.24,Healthy,0.0026995037741756067
63.75,Healthy,0.0026934621263777552
64.26,Healthy,0.0026919453399840707
64.77,Healthy,0.002694830616135865
65.28,Healthy,0.0027019647643697206
65.79,Healthy,0.0027131764309513318
66.3,Healthy,0.0027282886755414576
66.81,Healthy,0.0027471305465928734
67.32,Healthy,0.0027695467506021186
67.83,Healthy,0.002795405221912907
68.34,Healthy,0.0028246030564555644
68.85,Healthy,0.0028570715574589697
69.36,Healthy,0.0028927808753646373
69.87,Healthy,0.0029317439713898706
70.38,Healthy,0.0029740186844491646
70.89,Healthy,0.003019705939747798
71.4,Healthy,0.003068941976304271
71.91,Healthy,0.0031218830766855657
72.42,Healthy,0.003178682592653728
72.93,Healthy,0.00323946178100875
73.44,Healthy,0.0033042776632624124
73.95,Healthy,0.0033730923665694877
74.46,Healthy,0.0034457488604510774
74.97,Healthy,0.0035219575201633374
75.48,Healthy,0.0036012965771565187
75.99,Healthy,0.0036832274828868645
76.5,Healthy,0.003767123889623414
77.01,Healthy,0.003852310783148887
77.52,Healthy,0.003938108731864121
78.03,Healthy,0.004023877580355176
78.54,Healthy,0.004109054363776451
79.05,Healthy,0.004193181629156273
79.56,Healthy,0.004275924362684713
80.07,Healthy,0.004357075794189792
80.58,Healthy,0.004436553944999992
81.09,Healthy,0.004514391510683384
81.6,Healthy,0.004590721448235837
82.11,Healthy,0.004665759688581925
82.62,Healthy,0.004739785203797854
83.13,Healthy,0.004813116758194636
83.64,Healthy,0.0048860854785616244
84.15,Healthy,0.004959003040393316
84.66,Healthy,0.005032126610315253
85.17,Healthy,0.005105623299052946
85.68,Healthy,0.005179538238213569
86.19,Healthy,0.005253771032647038
86.7,Healthy,0.005328064994947436
87.21,Healthy,0.005402012209610634
87.72,Healthy,0.005475075351302392
88.23,Healthy,0.005546624691764756
88.74,Healthy,0.005615986366800971
89.25,Healthy,0.005682496194589873
89.76,Healthy,0.005745552463458856
90.27,Healthy,0.005804661277175214
90.78,Healthy,0.005859469178912727
91.29,Healthy,0.005909779613446578
91.8,Healthy,0.005955551947047322
92.31,Healthy,0.0059968838876751805
92.82,Healthy,0.006033979925535533
93.33,Healthy,0.006067109723039096
93.84,Healthy,0.006096561197196397
94.35,Healthy,0.006122593441156245
94.86,Healthy,0.006145394663852992
95.37,Healthy,0.00616504998321737
95.88,Healthy,0.006181523096358303
96.39,Healthy,0.0061946544775523995
96.9,Healthy,0.006204176811552737
97.41,Healthy,0.006209746043914352
97.92,Healthy,0.006210984075196261
98.43,Healthy,0.006207527246107905
98.94,Healthy,0.006199073818427849
99.45,Healthy,0.006185423931004015
99.96,Healthy,0.0061665069942489015
100.47,Healthy,0.006142393832913075
100.98,Healthy,0.006113293552562587
101.49,Healthy,0.006079537468837544
