Density,variable,value
0.0,Healthy,0.733703421897572
0.002,Healthy,0.7574293704292002
0.004,Healthy,0.7625328827723852
0.006,Healthy,0.7518501841874085
0.008,Healthy,0.7297412321177215
0.01,Healthy,0.7011783548401538
0.012,Healthy,0.6708213622144075
0.014,Healthy,0.642294095505983
0.016,Healthy,0.6177989185099888
0.018,Healthy,0.5980999698953201
0.02,Healthy,0.5828093187831095
0.022,Healthy,0.5708489790942315
0.024,Healthy,0.560945644997289
0.026,Healthy,0.5520377233223828
0.028,Healthy,0.5435201846081219
0.03,Healthy,0.5353049152656679
0.032,Healthy,0.5277196567691796
0.034,Healthy,0.5213001278634547
0.036,Healthy,0.5165451808058716
0.038,Healthy,0.5137042442874336
0.04,Healthy,0.5126516856791988
0.042,Healthy,0.5128772346548315
0.044,Healthy,0.5135902559664058
0.046,Healthy,0.513905392518121
0.048,Healthy,0.5130556676771661
0.05,Healthy,0.5105727757274784
0.052,Healthy,0.5063852504172609
0.054,Healthy,0.5008103981340605
0.056,Healthy,0.4944475476200125
0.058,Healthy,0.4880083991213951
0.06,Healthy,0.48213642191769546
0.062,Healthy,0.4772668707269722
0.064,Healthy,0.47356303808332306
0.066,Healthy,0.470938639724562
0.068,Healthy,0.4691492845040542
0.07,Healthy,0.46791627472376296
0.072,Healthy,0.46703927956510616
0.074,Healthy,0.466462071294946
0.076,Healthy,0.46627414952019325
0.078,Healthy,0.4666538763469719
0.08,Healthy,0.46777784928568156
0.082,Healthy,0.46973054851412926
0.084,Healthy,0.4724455380569672
0.086,Healthy,0.47569676799335425
0.088,Healthy,0.4791410990777264
0.09,Healthy,0.4823972442743563
0.092,Healthy,0.4851366697930566
0.094,Healthy,0.4871605855912792
0.096,Healthy,0.48844307371671336
0.098,Healthy,0.48913086331069694
0.1,Healthy,0.4895019323440639
0.102,Healthy,0.48989514441798443
0.104,Healthy,0.4906295652672531
0.106,Healthy,0.49193389468630333
0.108,Healthy,0.49390334990060625
0.11,Healthy,0.4964939653912814
0.112,Healthy,0.4995542491214377
0.114,Healthy,0.5028839867921967
0.116,Healthy,0.5063026164791407
0.118,Healthy,0.5097073321598767
0.12,Healthy,0.5131047074341497
0.122,Healthy,0.5166079655877901
0.124,Healthy,0.5204022569105735
0.126,Healthy,0.5246891155235653
0.128,Healthy,0.5296260952600957
0.13,Healthy,0.5352774883914297
0.132,Healthy,0.5415877758908175
0.134,Healthy,0.5483828948351767
0.136,Healthy,0.5553975959391191
0.138,Healthy,0.562321687047744
0.14,Healthy,0.5688546755143401
0.142,Healthy,0.5747574642891715
0.144,Healthy,0.579891134351209
0.146,Healthy,0.5842359934354071
0.148,Healthy,0.5878882999181804
0.15,Healthy,0.5910365391427406
0.152,Healthy,0.5939229830393411
0.154,Healthy,0.596798819399277
0.156,Healthy,0.5998820087748298
0.158,Healthy,0.6033261382843098
0.16,Healthy,0.6072060619621241
0.162,Healthy,0.6115224166296129
0.164,Healthy,0.6162227732046459
0.166,Healthy,0.6212330825895311
0.168,Healthy,0.6264902601426244
0.17,Healthy,0.63196622943729
0.172,Healthy,0.6376760571747883
0.174,Healthy,0.6436676428905411
0.176,Healthy,0.6499964679260256
0.178,Healthy,0.656694139319443
0.18,Healthy,0.6637418697692368
0.182,Healthy,0.671058481558003
0.184,Healthy,0.6785073956004004
0.186,Healthy,0.68592027739788
0.188,Healthy,0.6931292543562078
0.19,Healthy,0.6999971727844326
0.192,Healthy,0.7064370267397808
0.194,Healthy,0.712416438252247
0.196,Healthy,0.71794862826962
0.198,Healthy,0.7230753550047517
0.2,Healthy,0.7278485192363096
0.202,Healthy,0.7323157299170159
0.204,Healthy,0.736512359900346
0.206,Healthy,0.7404599908982676
0.208,Healthy,0.7441695850928561
0.21,Healthy,0.7476473365866562
0.212,Healthy,0.7509014709138995
0.214,Healthy,0.7539486782756897
0.216,Healthy,0.7568190352848314
0.218,Healthy,0.7595581980072366
0.22,Healthy,0.7622256057852567
0.222,Healthy,0.7648877783834168
0.224,Healthy,0.7676067791372722
0.226,Healthy,0.7704255454574573
0.228,Healthy,0.7733536498857735
0.23,Healthy,0.776358365150075
0.232,Healthy,0.7793657569425411
0.234,Healthy,0.7822743558686055
0.236,Healthy,0.784980017140351
0.238,Healthy,0.7874060883220902
0.24,Healthy,0.7895298190160142
0.242,Healthy,0.7913957387715976
0.244,Healthy,0.7931101384544343
0.246,Healthy,0.7948169355245607
0.248,Healthy,0.7966618997739133
0.25,Healthy,0.7987568342641159
0.252,Healthy,0.8011558943959092
0.254,Healthy,0.8038523635394956
0.256,Healthy,0.8067971893651086
0.258,Healthy,0.8099329249603867
0.26,Healthy,0.8132311382040521
0.262,Healthy,0.8167198011926486
0.264,Healthy,0.8204901871088046
0.266,Healthy,0.8246794116931521
0.268,Healthy,0.8294328562456055
0.27,Healthy,0.8348577307312888
0.272,Healthy,0.8409826932963177
0.274,Healthy,0.8477373909578405
0.276,Healthy,0.8549600698047053
0.278,Healthy,0.8624325746186378
0.28,Healthy,0.8699328641210848
0.282,Healthy,0.8772887777421768
0.284,Healthy,0.8844157088056956
0.286,Healthy,0.8913258710505705
0.288,Healthy,0.8981065475245115
0.29,Healthy,0.9048757022326439
0.292,Healthy,0.9117314769461862
0.294,Healthy,0.9187141379745946
0.296,Healthy,0.9257940409299339
0.298,Healthy,0.9328890297397466
0.3,Healthy,0.9399033991864986
0.302,Healthy,0.9467726298519153
0.304,Healthy,0.9534966348895585
0.306,Healthy,0.960149602675531
0.308,Healthy,0.9668642028095882
0.31,Healthy,0.9737977599458073
0.312,Healthy,0.9810939551612772
0.314,Healthy,0.9888535601905836
0.316,Healthy,0.9971222670147668
0.318,Healthy,1.0058957742917587
0.32,Healthy,1.0151356711690704
0.322,Healthy,1.0247870573664244
0.324,Healthy,1.0347907807506853
0.326,Healthy,1.0450879341009494
0.328,Healthy,1.055618960445889
0.33,Healthy,1.0663219611344794
0.332,Healthy,1.0771338457099258
0.334,Healthy,1.0879949408488192
0.336,Healthy,1.0988547320553874
0.338,Healthy,1.109675368592577
0.34,Healthy,1.1204308956119777
0.342,Healthy,1.1311028748968543
0.344,Healthy,1.1416753491645655
0.346,Healthy,1.1521325809152396
0.348,Healthy,1.1624614000185736
0.35,Healthy,1.1726572855301078
0.352,Healthy,1.182731022041027
0.354,Healthy,1.1927121160572467
0.356,Healthy,1.2026463964528475
0.358,Healthy,1.2125876474407216
0.36,Healthy,1.2225855463388573
0.362,Healthy,1.2326735841085878
0.364,Healthy,1.2428606146691374
0.366,Healthy,1.2531284268551823
0.368,Healthy,1.263435855506737
0.37,Healthy,1.273728089697075
0.372,Healthy,1.283948481108585
0.374,Healthy,1.294049577220938
0.376,Healthy,1.3040003885223888
0.378,Healthy,1.313787963756057
0.38,Healthy,1.323412930907617
0.382,Healthy,1.3328803514910743
0.384,Healthy,1.3421885632715165
0.386,Healthy,1.3513192803185345
0.388,Healthy,1.3602319246061372
0.39,Healthy,1.3688640664616696
0.392,Healthy,1.3771382227491085
0.394,Healthy,1.3849734698535716
